E119｜英伟达与芯片史上的大赢家们：凡是伟大的，都是叛逆的
时长：00:48:53
来源：网易云音乐电台节目 · 硅谷101 · E119｜英伟达与芯片史上的大赢家们：凡是伟大的，都是叛逆的

[00:00:02] 欢迎收听硅谷101这是一档分享当下最新鲜的技术知识与思想的科技播客我是红军
[00:00:12] 嗨,大家好,之前我们在节目里面介绍过一个投资人的培训项目叫做Venture Squad Program,简称VSP,还有挺多小伙伴挺感兴趣的。那这个项目现在正在招收新一期的学员,非常适合想了解VC行业的小伙伴们。它的主要课程是学习VC投资的方法论,投资人是如何去分析项目,如何做尽职调查的。
[00:00:38] 也会关注现在的很多热点垂直行业比如我们播客经常聊到的AIGC和生物医药等等课程的时间是八周方式是通过Zoom来线上授课也就是说大家无论在全球的任何地方都可以参加那八周之后呢学员也可以加入校友社群也会不定期在全球各地组织一些一些线下的校友聚会
[00:01:06] 这个项目的主办方也是硅谷101的老朋友Skill Asia Ventures他的创始合伙人是Jasper.ai的早期投资人沃里王那这是一家非常年轻的硅谷基金他重点关注欧美市场的软件和AI赛道在成立不到三年的时间里已经投出了四家入选AI100强的人工智能公司
[00:01:31] 他的30多家背头企业中已经有两个并购推出和一个独角兽
[00:01:36] 那再说回到我们刚刚提到的投资人培训课程VSP沃里跟我说参与的这些学员超过40%拥有博士或者MBA学位那平均的工作年限呢超过8年现在这个课程已经开展到第六期了新一期呢是今年的9月底开课如果大家想要了解详细信息可以发邮件到vsp at sav.vc来询问我
[00:02:05] 再说一遍邮件的地址vspatsav.vc当然这个项目的官方介绍和报名链接我也会放在show notes当中下面就请收听我们今天的节目
[00:02:24] 这期呢我们来聊一聊芯片那跟我们在一起的是资深芯片研究专家汪波哈喽汪波老师你好哈喽洪君最近其实我们的节目还做了蛮多关于生成式AI的题目然后生成式AI爆火我们可以说芯片公司是它背后的大赢家尤其是英伟达我今天还在录节目前特意去看了一下这个英伟达它的市值也是在这一轮人工智能的热潮里面
[00:02:53] 突破了一万亿美元是第一家市值突破万亿的芯片制造商所以整个跟芯片还是挺相关的
[00:03:02] 王老师其实也是《芯片简史》这本书的作者,对吧?对,我写了《回顾芯片历史》的这样一本书。你可不可以讲一下你自己的经历,以及你为什么要写这本书?我是1998年毕业之后就参加了工作,然后在华为工作了三年。之后我就去法国留学,学习微电子集成电路,获得了硕士和博士学位。
[00:03:28] 之后在法国里昂的国家实验室工作了两年之后回国来到了北京大学深圳研究生院之后就从事集成电路方面的研究从2020年开始我就写了这样一本芯片简史那为什么写呢是因为在2020年的5月17号美国宣布第二轮对华为的制裁华为从此以后就再也没法使用台积电的先进的7nm 5nm的工艺去制造它自己的7nm的芯片
